epoch,train_loss,train_intent,train_dev,val_loss,val_intent,val_dev,lr,time_s,intent_top1_acc,intent_top5_acc,intent_macro_f1,dev_hamming_loss,dev_subset_acc,dev_macro_f1,auroc_rotation,auroc_closure_failure,auroc_spatial_disorganization,auroc_size_distortion
1,1.8702819473646883,1.4224590386185691,0.4478229100226985,1.1907613880886054,0.9575554491570277,0.23320593823742422,9.990133642141359e-05,234.47113847732544,0.7234560685758815,0.9323007987531657,0.746840965922209,0.05608318721994935,0.8451198129748685,0.8114271716190243,0.9900766754982729,0.9999753856873452,0.9840186027121475,0.9604621663561855
2,1.1599120081770828,0.8428387196728745,0.3170732875757871,1.0620342937315472,0.8485954996221554,0.21343879707111335,9.96057350657239e-05,230.08950972557068,0.7411844924995129,0.9421390999415546,0.7664909453640766,0.0449055133450224,0.8636275082797584,0.8381438112300883,0.9917703866938744,0.9999932783992365,0.9867990324037911,0.9707215631955733
3,1.0468759241505203,0.7545595378890587,0.29231638777014624,0.9868869825919963,0.7947758462118066,0.19211113698178936,9.911436253643444e-05,227.99675822257996,0.7528735632183908,0.9478862263783363,0.7741060050275093,0.044442820962400154,0.864406779661017,0.842373797290483,0.9935748252103094,0.9999955504896355,0.9886110499130987,0.9734876542066804
4,1.002838250539756,0.7167613983061455,0.28607685330129484,0.9347075201709818,0.7420591232569321,0.19264839383663598,9.842915805643155e-05,227.18864250183105,0.7668030391583869,0.9528540814338593,0.792126435548011,0.04332261835184103,0.8637249172024157,0.8439417792587565,0.9934439821241523,0.9999980119209009,0.9900441033675226,0.9769894559851264
5,0.9824966997186714,0.7062137479722685,0.2762829522802451,0.9057056030131275,0.7342759389314593,0.17142966422049896,9.755282581475769e-05,229.26705169677734,0.7669004480810442,0.9548022598870056,0.7881910481831518,0.04298168712254043,0.867231638418079,0.8475402157987183,0.9943702134445802,0.9999949824670358,0.991067315588135,0.9812259500538868
6,0.9526449052901282,0.688230045859316,0.26441485946562804,0.8845141422674523,0.71190993367515,0.17260421164657758,9.648882429441257e-05,229.6147849559784,0.7726475745178258,0.9561659848042081,0.7906331319773791,0.04222676797194623,0.8679135008766803,0.8493298931728182,0.9939343718625748,0.9999975385687345,0.9898271285966814,0.9822326682986992
7,0.9252433805636527,0.6717545849697613,0.25348879525733886,0.8712416470791242,0.7120176674046131,0.1592239800215878,9.524135262330098e-05,226.07956290245056,0.770212351451393,0.9545100331190337,0.7926827386723754,0.04144749659068771,0.8700564971751412,0.8520686309029213,0.9952268550903759,0.9999981065913343,0.9914819784835206,0.9838328808826307
8,0.9067175550345691,0.6612538199094226,0.2454637330826198,0.8556619447580776,0.701231927234934,0.15443001923538882,9.381533400219317e-05,228.58409214019775,0.7748879797389441,0.9558737580362361,0.7959085820191543,0.03964543152152737,0.8745373076173778,0.8575664317131507,0.9952403562121471,0.9999974438983013,0.9920460201634469,0.9855910499942595
9,0.8858502827979322,0.6439116168709188,0.24193866564848712,0.8625485730467376,0.7028018373139897,0.15974673499231754,9.221639627510075e-05,230.3615062236786,0.7729398012857978,0.9552893045002923,0.789742710536994,0.04865575686732905,0.8533995714007403,0.8341640490155796,0.9956118635897399,0.9999979172504676,0.9927559171059942,0.9857867827607023
10,0.8694554070167453,0.640215403147947,0.22924000317248228,0.8386698635468571,0.6900304468892375,0.14863941358020588,9.045084971874735e-05,232.06756591796875,0.7793687901811805,0.9553867134229496,0.7953506917153054,0.03755113968439509,0.8771673485291253,0.8644210612544956,0.9956050677230767,0.9999952664783357,0.9926951827150109,0.9873106558621685
11,0.7019433790463896,0.5127825450813659,0.18916083419712904,0.6905894782972632,0.5665926844436929,0.1239967940849547,8.852566213878945e-05,239.00195407867432,0.8143385934151568,0.9669783752191701,0.8282888864823386,0.030902980713033313,0.8926553672316384,0.8849032884878065,0.9971376715729805,0.9999972545574346,0.9944701105199012,0.9899480021184323
12,0.5538866060359455,0.41142584645766705,0.14246075854540985,0.653179912648586,0.5354876127672492,0.11769229953426012,8.644843137107056e-05,234.48085761070251,0.8239820767582311,0.9699980518215469,0.8341851884426947,0.030245470485096435,0.893434638612897,0.8873309160376112,0.9972116106022769,0.9999922370244705,0.9954205341955948,0.991704134276011
13,0.46943076256651,0.35166523813319356,0.11776552479888235,0.6013529191476218,0.49214294913762846,0.10920996977860883,8.422735529643442e-05,227.17598867416382,0.8398597311513735,0.9695110072082602,0.8466359615280837,0.028175530878628483,0.9014221702707969,0.8949368578964407,0.9980435152934184,0.9999851367419738,0.9956196131840547,0.9918260737525507
14,0.3963197187703347,0.2972289070115654,0.09909081201118379,0.59671014010536,0.4863930502848596,0.11031708978579281,8.187119948743447e-05,228.50659275054932,0.8450224040522112,0.9720436391973505,0.8538299581398866,0.02720144165205533,0.9056107539450614,0.8969799442292461,0.9978277691797479,0.9999983906026341,0.9958746976261849,0.9924961390461869
15,0.3561526507696259,0.26994939640489324,0.08620325512487755,0.5865419070172754,0.48192118848702925,0.10462071737332373,7.938926261462366e-05,233.94738364219666,0.8466783557373856,0.9737969998051822,0.8486679583827235,0.019920124683421,0.9264562633937269,0.9217929369627336,0.9978773337006123,0.9999976332391678,0.9964992882485723,0.9921310613271311
16,0.31476056393572477,0.23944273359806645,0.07531783018533918,0.5621662112126439,0.4571483665556641,0.10501784457599525,7.679133974894982e-05,233.4802691936493,0.8543736606273135,0.9738944087278395,0.8571293226608552,0.017898889538281705,0.9335671147477109,0.9290736043069152,0.9977328988811286,0.9999974438983011,0.9967461202314695,0.9922574450670529
17,0.29497611179158695,0.22347486410231976,0.07150124761383296,0.5582823264672889,0.4552170221479783,0.10306530504817178,7.408768370508575e-05,237.29938864707947,0.8572959283070329,0.97496590687707,0.857558064887305,0.020723748295343854,0.9233391778686928,0.9185125155313489,0.9978899287068281,0.9999988639548005,0.9965408287175196,0.9917745017795573
18,0.2683779740491389,0.2050923112158974,0.06328566252570193,0.5579805654583511,0.4527215795672458,0.10525898447965984,7.128896457825361e-05,232.18105244636536,0.8614845119812975,0.9747710890317554,0.8654346679732953,0.0161211766997857,0.9393142411844925,0.934977453326077,0.9979516804819085,0.9999978225800344,0.9968267903385771,0.9910141160915666
19,0.25442136521233577,0.197004288945614,0.05741707646981392,0.570801184599444,0.46943823817353814,0.10136294816128956,6.840622763423389e-05,229.23269629478455,0.8559322033898306,0.9759399961036431,0.8540998820073977,0.019847067991428016,0.9264562633937269,0.9222380603064549,0.9977263748491317,0.9999988639548005,0.996254403475157,0.9932351830110624
20,0.23101988920471936,0.17738741332218283,0.05363247558950356,0.5600445477858834,0.4605529270372035,0.09949162226424825,6.545084971874736e-05,225.95490527153015,0.859146697837522,0.97496590687707,0.8644608663328545,0.019043444379505163,0.9302552113773621,0.9246550616260703,0.9978582146623994,0.999997349227868,0.9968796431673718,0.992161152693779
21,0.21848141695619372,0.16739319621460552,0.05108822071620167,0.540838175030969,0.43541975402683947,0.10541842124708321,6.243449435824272e-05,476.37127566337585,0.8674264562633938,0.9797389440872784,0.8661649174760785,0.015804597701149427,0.9415546464056107,0.9361379905088688,0.9981267873129324,0.9999964971939683,0.996786084387979,0.9920790264100352
22,0.1988263061078631,0.1529218824232154,0.04590442377676451,0.5205637242483057,0.41227232900835714,0.10829139497385633,5.9369065729286224e-05,476.0286614894867,0.878336255601013,0.9812000779271381,0.8709215842120035,0.014660042859925969,0.9442820962400156,0.9405099035974709,0.9979731101147867,0.9999990532956672,0.9968132525964648,0.9906028828455138
